Geographic Area,population,,,     
AL,"4,874,747",,,     
AK,"739,795",,,     
AZ,"7,016,270",,,     
AR,"3,004,279",,,      
CA,"39,536,653",,,      
CO,"5,607,154",,,      
CT,"3,588,184",,,      
DE,"961,939",,,      
DC,"693,972",,,      
FL,"20,984,400",,,      
GA,"10,429,379",,,      
HI,"1,427,538",,,      
ID,"1,716,943",,,      
IL,"12,802,023",,,      
IN,"6,666,818",,,      
IA,"3,145,711",,,      
KS,"2,913,123",,,      
KY,"4,454,189",,,      
LA,"4,684,333",,,      
ME,"1,335,907",,,      
MD,"6,052,177",,,      
MA,"6,859,819",,,      
MI,"9,962,311",,,      
MN,"5,576,606",,,      
MS,"2,984,100",,,      
MO,"6,113,532",,,      
MT,"1,050,493",,,      
NE,"1,920,076",,,      
NV,"2,998,039",,,      
NH,"1,342,795",,,      
NJ,"9,005,644",,,      
NM,"2,088,070",,,      
NY,"19,849,399",,,      
NC,"10,273,419",,,      
ND,"755,393",,,      
OH,"11,658,609",,,      
OK,"3,930,864",,,      
OR,"4,142,776",,,      
PA,"12,805,537",,,      
RI,"1,059,639",,,      
SC,"5,024,369",,,      
SD,"869,666",,,      
TN,"6,715,984",,,      
TX,"28,304,596",,,      
UT,"3,101,833",,,      
VT,"623,657",,,      
VA,"8,470,020",,,      
WA,"7,405,743",,,      
WV,"1,815,857",,,      
WI,"5,795,483",,,      
WY,"579,315",,,      
,,,,      
,,,,      
,,,,      
,,,,      